,temperature_mean,max_temperature_mean,min_temperature_mean,precipitation_mean,rain_mean,snow_mean,precipitation_hours_mean,wind_speed_mean,wind_gusts_mean,shortwave_radiation_mean
1/1,4.9959086162682915,7.338439041463413,2.537219504878049,2.9414632902439024,2.939024256097561,0.01024390243902439,4.317073170731708,23.65935713170732,47.221462609756095,2.080975609756097
2/1,4.8678312534999995,7.2467374925,2.4267375,1.83499997125,1.83499997125,0.0,3.225,24.447642350000002,49.022998574999995,2.5495
3/1,4.44074799925,7.005487485000001,1.8954874924999998,2.30000000875,2.29750000375,0.00525,3.75,25.494042750000002,50.40899865,2.27325
4/1,4.63892497075,7.099237499999999,1.8929874930000001,2.0025,1.9800000049999997,0.02800000025,3.075,25.071737125,49.78799875,2.3222499999999995
5/1,5.0986125445,7.592987489999999,2.3329875,2.32250003125,2.202500021,0.08925000074999999,4.1,23.668556975,46.39499895,2.18475
6/1,4.82017512825,7.296737482500001,1.9404875000000001,2.5149999949999997,2.08500002,0.30274999849999995,4.175,22.97730655,45.530999574999996,2.517
7/1,4.3742895090000005,6.7479874925,1.8104874924999996,1.2150000109999999,1.025000016,0.14000001525,2.4,23.6309598875,46.8269992,2.66925
8/1,4.6548105475,7.11798749,1.9604875,2.2575000634999998,1.7999999959999997,0.32725002999999997,4.775,23.336901900000004,46.898999175,2.3962499999999998
9/1,5.00111240075,7.374237482499998,2.3517374999999996,1.735000022,1.585000037,0.1155000025,3.35,23.8624999375,46.59299895,2.4645
10/1,4.9926228335625,7.4004874925,2.29173750025,1.4600000025,1.3974999925,0.052500004999999995,3.475,23.951161425,47.68199882500001,2.4170000000000003
11/1,4.484914509,6.9592375175,1.8267375000000001,1.2600000175,1.2325000175,0.028000000000000004,2.55,23.3203082125,46.979999,2.6777500000000005
12/1,4.46684164025,6.7917374925,1.75798749,2.0075000125000004,1.829999985,0.13475,3.55,24.9320611875,49.4909989,2.4932499999999997
13/1,4.68699792675,7.2604875075,2.0717374925,1.5575000200000002,1.3650000299999998,0.16275001799999997,3.775,25.389402525,49.094998525,2.8910000000000005
14/1,3.871633428,6.4467375250000005,1.3667375,1.2775000325,1.01750003,0.19250000775,3.075,23.8699226875,47.5379991,3.14725
15/1,4.806477191425,7.204237524999999,2.0217375,2.0200000562500002,2.000000055,0.03150000000000001,3.225,24.846249160000003,48.455998425,2.6414999999999997
16/1,4.38684177525,6.889237485,1.8879875000000002,1.1300000197500002,1.09000001975,0.0367500015,2.3,22.951620674999997,44.2889989625,2.8335
17/1,3.9945499665,6.6879875,1.0779875,1.6675000124999997,1.6125000100000002,0.04025000525,3.075,22.549882675,44.8919985,3.09375
18/1,4.087779121999999,6.7767374925,1.1617375,1.7549999825,1.6300000075,0.1120000125,3.35,23.092130199999996,45.278998324999996,2.9910000000000005
19/1,4.7804876075,7.175487479999999,2.2229875,1.41999998375,1.40249998225,0.029750000499999995,2.8,22.380078315000002,44.666999225,2.838
20/1,4.451320792,6.9329874925,1.9779875,0.937500025,0.7675000200000001,0.1260000025,2.75,21.764269962500002,42.3899989,2.8270000000000004
